,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Web Link
530,AE Jewels,GAME,4.2,960,18M,"50,000+",Free,0,Everyone,Action,"August 20, 2015",1.0.5,3.0 and up,
531,AE Spider Solitaire,GAME,4.5,17263,Varies with device,"500,000+",Free,0,Everyone,Card,"June 7, 2017",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.aemobile.Spider
532,AE Coin Mania : Arcade Fun,GAME,4.3,30002,29M,"1,000,000+",Free,0,Teen,Casino,"February 8, 2018",2.3.5,4.0.3 and up,https://play.google.com/store/apps/details?id=com.aemobile.games.coinmania
533,Mupen64+AE FREE (N64 Emulator),GAME,4.0,41759,12M,"1,000,000+",Free,0,Everyone,Arcade,"January 19, 2014",2.4.4,2.0 and up,https://play.google.com/store/apps/details?id=paulscode.android.mupen64plus.free
534,Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12M,"100,000+",Paid,$0.99,Everyone,Arcade,"January 19, 2014",2.4.4,2.0 and up,https://play.google.com/store/apps/details?id=paulscode.android.mupen64plus
535,AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",Free,0,Teen,Arcade,"March 14, 2016",2.0.2,2.3 and up,
536,AE Video Poker,GAME,4.0,721,18M,"50,000+",Free,0,Teen,Casino,"December 31, 2015",1.3.2,2.3 and up,
537,AE Solitaire,GAME,4.3,1776,26M,"50,000+",Free,0,Everyone,Card,"January 4, 2018",2.3.4,4.0.3 and up,https://play.google.com/store/apps/details?id=com.aemobile.games.solitaire
538,AE Blackjack,GAME,4.0,1417,17M,"100,000+",Free,0,Teen,Card,"November 27, 2015",1.3.1,2.3 and up,
539,AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",Free,0,Everyone,Arcade,"December 13, 2013",1.0.2,2.2 and up,https://play.google.com/store/apps/details?id=com.aemobile.games.gunball
540,AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Varies with device,"5,000,000+",Free,0,Everyone,Racing,"August 26, 2016",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.aemobile.games.aemotor3d
541,AE GTO Racing,GAME,3.9,6988,35M,"100,000+",Free,0,Everyone 10+,Racing,"September 24, 2015",Varies with device,Varies with device,
542,AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",Free,0,Everyone 10+,Racing,"December 31, 2014",1.7.1,2.3 and up,
543,AE FreeCell,GAME,4.2,358,15M,"10,000+",Free,0,Everyone,Card,"November 6, 2014",1.1.5,2.3 and up,
544,AE City Jump,GAME,4.5,804,27M,"10,000+",Free,0,Everyone,Action,"July 18, 2018",1.0.4,4.0 and up,
545,AE Angry Chef,GAME,4.1,533,39M,"10,000+",Free,0,Everyone 10+,Action,"January 24, 2014",1.0,2.1 and up,
546,AE Master Moto,GAME,4.0,17876,37M,"1,000,000+",Free,0,Everyone,Racing,"December 10, 2015",1.8.6,2.3 and up,https://play.google.com/store/apps/details?id=com.aemobile.games.XtremeMoto
547,AE Fishing Hunter,GAME,4.4,14,6.6M,"1,000+",Free,0,Everyone,Adventure,"March 15, 2016",0.0.3,3.0 and up,
548,Gun Strike Shoot,GAME,4.1,94761,17M,"10,000,000+",Free,0,Teen,Action,"February 21, 2017",1.1.4,2.3 and up,https://play.google.com/store/apps/details?id=com.itapapp.gunstrike3d
549,AG Drive 3D,GAME,3.8,164,22M,"10,000+",Free,0,Everyone,Adventure,"March 20, 2015",1.0.1,2.3.3 and up,
550,VR AG Racing for Cardboard,GAME,3.4,13,27M,"1,000+",Free,0,Everyone,Racing,"September 29, 2016",1.1,4.1 and up,
551,AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,86M,"100,000+",Free,0,Teen,Action,"February 16, 2018",1.0.1,4.3 and up,
552,Ah! Coins,GAME,3.4,256,9.1M,"50,000+",Free,0,Everyone,Action,"December 8, 2016",1.0.0,2.3 and up,
553,AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,$1.99,Everyone,Arcade,"March 7, 2016",1.6,4.0 and up,https://play.google.com/store/apps/details?id=com.SmartBomb.AJJump
554,Baby Game Animal Jam Free,GAME,2.8,9,26M,500+,Free,0,Everyone,Board,"March 24, 2017",1.0,2.3 and up,
555,Blackjack aj Poker,GAME,3.8,8,4.2M,"1,000+",Free,0,Teen,Card,"October 19, 2016",1.1,2.3.3 and up,
556,Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21,89M,"1,000+",Free,0,Everyone,Arcade,"March 30, 2018",0.46.91,4.4 and up,
557,Crisis Action: 2018 NO.1 FPS,GAME,4.3,807226,34M,"10,000,000+",Free,0,Teen,Action,"July 11, 2018",3.0.2,4.0.3 and up,
558,AK-47 3D,GAME,3.7,91,24M,"10,000+",Free,0,Everyone,Action,"December 25, 2016",3.2,2.3 and up,
559,AK-47 Assult Rifle: Gun Shooting Simulator Game,GAME,,1,5.8M,500+,Free,0,Everyone,Action,"May 17, 2018",2.0,4.0.3 and up,
560,Counter Terrorist Attack,GAME,3.9,145931,43M,"10,000,000+",Free,0,Teen,Action,"May 31, 2018",5.3.2,2.3 and up,https://play.google.com/store/apps/details?id=com.gha.counter.terrorist.attack
561,RULES OF SURVIVAL,GAME,4.2,1343106,56M,"10,000,000+",Free,0,Teen,Action,"August 1, 2018",1.180271.184729,4.0 and up,https://play.google.com/store/apps/details?id=com.netease.chiji
562,AK Blackjack,GAME,,4,7.6M,"1,000+",Free,0,Teen,Card,"July 30, 2018",1.3,4.1 and up,
563,GUN ZOMBIE,GAME,4.4,243121,38M,"5,000,000+",Free,0,Teen,Arcade,"October 17, 2014",5.3,2.3 and up,https://play.google.com/store/apps/details?id=com.pnixgames.gunzombieHellGate
564,Shoot Strike War Fire,GAME,4.1,82827,20M,"10,000,000+",Free,0,Teen,Arcade,"July 13, 2018",1.1.5,4.0 and up,https://play.google.com/store/apps/details?id=com.deadstrike.ds
565,I Am Innocent,GAME,4.4,208501,56M,"1,000,000+",Free,0,Teen,Adventure,"July 23, 2018",2.8.307,4.0.3 and up,https://play.google.com/store/apps/details?id=com.glaznev.innocent
566,I am Bread,GAME,4.0,630,20M,"10,000+",Paid,$4.99,Everyone,Adventure,"October 26, 2016",1.6.1,4.4 and up,
567,What Am I? - Brain Teasers,GAME,4.2,4537,15M,"100,000+",Free,0,Everyone,Trivia,"April 5, 2017",2.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.braingame.riddlemethat.whatami
568,Who am I? (Biblical),GAME,4.5,5849,5.1M,"500,000+",Free,0,Everyone,Trivia,"September 13, 2017",1.2.2_comAds,4.0.3 and up,https://play.google.com/store/apps/details?id=com.bergman.quemsoueu
569,Vikings: an Archer's Journey,GAME,4.5,10256,39M,"1,000,000+",Free,0,Everyone,Action,"December 11, 2017",2.1.0,4.3 and up,https://play.google.com/store/apps/details?id=com.pinpinteam.vikings
570,Draw a Stickman: EPIC Free,GAME,4.2,210317,46M,"10,000,000+",Free,0,Everyone 10+,Adventure,"April 10, 2015",1.4.3.104,2.3.3 and up,https://play.google.com/store/apps/details?id=com.hitcents.stickmanepicfree
571,THE KING OF FIGHTERS-A 2012(F),GAME,4.4,406511,21M,"5,000,000+",Free,0,Teen,Action,"October 21, 2016",1.0.5,4.0.3 and up,
572,Fast like a Fox,GAME,4.3,104389,12M,"5,000,000+",Free,0,Everyone,Adventure,"April 17, 2018",1.4.0,4.2 and up,https://play.google.com/store/apps/details?id=com.waybefore.fastlikeafox
573,Ao Oni2,GAME,4.1,21223,48M,"1,000,000+",Free,0,Teen,Adventure,"April 20, 2018",1.6.6,4.1 and up,https://play.google.com/store/apps/details?id=jp.uuum.blueman
574,Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,99M,"10,000,000+",Free,0,Teen,Action,"June 28, 2018",1.23.1.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.ngame.allstar.eu
575,Mobile Legends: Bang Bang,GAME,4.4,8219586,99M,"100,000,000+",Free,0,Teen,Action,"July 24, 2018",1.2.97.3042,4.0.3 and up,https://play.google.com/store/apps/details?id=com.mobile.legends
576,Kill Shot Bravo: Sniper FPS,GAME,4.4,579519,99M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",5.1,4.1 and up,
577,Carnivores: Dinosaur Hunter,GAME,4.2,62636,17M,"1,000,000+",Free,0,Teen,Action,"July 2, 2018",1.8.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.tatem.dinhunterhd
578,Hopeless Land: Fight for Survival,GAME,4.2,250197,44M,"5,000,000+",Free,0,Teen,Action,"July 12, 2018",1.0,4.1 and up,
579,Heroes Arena,GAME,4.2,336386,88M,"10,000,000+",Free,0,Everyone 10+,Action,"July 24, 2018",2.0.1,4.0.3 and up,
580,DINO HUNTER: DEADLY SHORES,GAME,4.4,1381624,54M,"10,000,000+",Free,0,Teen,Action,"March 14, 2017",3.1.1,3.0 and up,https://play.google.com/store/apps/details?id=com.glu.dino
581,Undead Assault,GAME,4.3,4704,37M,"100,000+",Free,0,Everyone 10+,Arcade,"November 4, 2015",1.4.6,2.3 and up,
582,Guess the Class 🔥 AQW,GAME,4.7,57,12M,"1,000+",Free,0,Everyone,Word,"November 1, 2017",1.0.0,4.1 and up,
583,Iron Blade,GAME,4.4,161637,82M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",1.7.0m,4.0.3 and up,
584,Evil Apples: A Dirty Card Game,GAME,4.3,137696,55M,"5,000,000+",Free,0,Mature 17+,Word,"July 19, 2018",2.3.3,4.2 and up,
585,Ghost Snap AR Horror Survival,GAME,3.8,898,33M,"100,000+",Free,0,Teen,Adventure,"December 21, 2016",1.2.3.1,2.3 and up,
586,The Walking Dead: Our World,GAME,4.0,22435,100M,"1,000,000+",Free,0,Teen,Action,"August 1, 2018",1.1.0.3,5.0 and up,https://play.google.com/store/apps/details?id=com.nextgames.android.ourworld
587,Ingress,GAME,4.3,391325,43M,"10,000,000+",Free,0,Everyone,Adventure,"June 20, 2018",1.131.2,4.0 and up,
588,Flat Pack,GAME,4.4,862,44M,"100,000+",Free,0,Everyone 10+,Action,"March 16, 2018",1.0.4,7.0 and up,https://play.google.com/store/apps/details?id=com.nitrome.flatpack_android
589,Crayola Color Blaster,GAME,3.8,17,30M,"1,000+",Free,0,Everyone,Arcade,"March 13, 2018",1.5,7.0 and up,
590,Guns of Boom - Online Shooter,GAME,4.6,1226514,99M,"10,000,000+",Free,0,Teen,Action,"July 20, 2018",4.4.4,4.1 and up,
591,Guns Royale - Multiplayer Blocky Battle Royale,GAME,4.6,19070,90M,"100,000+",Free,0,Everyone 10+,Action,"August 4, 2018",1.0,Varies with device,https://play.google.com/store/apps/details?id=com.wizardgames.gunsroyale
592,Stack It AR,GAME,3.8,1363,26M,"100,000+",Free,0,Everyone,Arcade,"June 29, 2018",1.1.4,4.0 and up,
593,Nightenfell: Shared AR,GAME,4.5,20,65M,"1,000+",Paid,$0.99,Everyone 10+,Action,"March 27, 2018",1.0.0,7.0 and up,https://play.google.com/store/apps/details?id=com.hookbang.nightenfell
594,Arcraft - AR Sandbox,GAME,3.8,469,80M,"10,000+",Free,0,Everyone,Adventure,"May 19, 2017",1.4,4.0 and up,
595,AR Tank Battle,GAME,3.6,153,67M,"10,000+",Free,0,Everyone,Action,"December 31, 2016",1.3,4.0 and up,
596,Sonic the Hedgehog™ Classic,GAME,4.4,125652,56M,"10,000,000+",Free,0,Everyone,Action,"June 18, 2018",3.3.0,4.2 and up,https://play.google.com/store/apps/details?id=com.sega.sonic1px
597,Pacific Navy Fighter C.E. (AS),GAME,4.3,11379,20M,"500,000+",Free,0,Everyone 10+,Arcade,"July 29, 2018",1.4,4.0.3 and up,https://play.google.com/store/apps/details?id=nl.dotsightsoftware.pnfce.release
598,My OldBoy! Free - GBC Emulator,GAME,4.2,51787,Varies with device,"5,000,000+",Free,0,Everyone,Arcade,"January 12, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.fastemulator.gbcfree
599,My Boy! Free - GBA Emulator,GAME,4.3,531074,2.5M,"10,000,000+",Free,0,Everyone,Arcade,"January 9, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.fastemulator.gbafree
600,SAMURAI vs ZOMBIES DEFENSE,GAME,4.5,407788,19M,"5,000,000+",Free,0,Everyone,Action,"July 18, 2013",3.4.0,2.1 and up,https://play.google.com/store/apps/details?id=com.glu.samuzombie
601,Five Nights at Freddy's 4 Demo,GAME,4.4,889425,45M,"10,000,000+",Free,0,Teen,Action,"July 26, 2015",1.1,2.3 and up,
602,Five Nights at Freddy's 3 Demo,GAME,4.5,1041836,50M,"10,000,000+",Free,0,Teen,Action,"April 2, 2015",1.07,2.3 and up,
603,Nights at Cube Pizzeria 3D – 2,GAME,4.0,47151,36M,"5,000,000+",Free,0,Everyone 10+,Action,"December 26, 2017",2.4.0,4.3 and up,
604,Rivals at War: Firefight,GAME,4.4,344819,51M,"5,000,000+",Free,0,Teen,Action,"October 18, 2016",1.4,3.0 and up,https://play.google.com/store/apps/details?id=com.hotheadgames.google.free.valorcmd
605,Five Nights at Freddy's,GAME,4.6,100805,50M,"1,000,000+",Paid,$2.99,Teen,Action,"December 2, 2014",1.85,2.3 and up,https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys
606,7 Nights at Pixel Pizzeria - 2,GAME,4.0,23168,54M,"1,000,000+",Free,0,Teen,Adventure,"July 9, 2018",1.3.0,4.4 and up,
607,Nights at Slender Pizzeria 3D,GAME,4.1,2628,45M,"100,000+",Free,0,Teen,Adventure,"May 22, 2017",1.1,4.2 and up,
608,One Night at Golden Freddy's,GAME,3.3,2717,4.0M,"100,000+",Free,0,Teen,Action,"December 7, 2017",0.1,2.3 and up,
609,Nights at Cube Pizzeria 3D – 4,GAME,4.1,7728,39M,"500,000+",Free,0,Teen,Adventure,"July 17, 2018",1.5.0,4.4 and up,
610,Five Nights at Neighbor House,GAME,4.2,2180,55M,"100,000+",Free,0,Everyone 10+,Action,"January 26, 2018",1.1.0,4.2 and up,
611,Asylum Night Shift - Five Nights Survival,GAME,4.0,59223,46M,"5,000,000+",Free,0,Teen,Action,"June 26, 2018",1.6.5,4.1 and up,https://play.google.com/store/apps/details?id=com.chopperkhan.asylumdemo
612,Five Nights at Freddy's: SL,GAME,4.5,16162,99M,"100,000+",Paid,$2.99,Teen,Action,"April 6, 2017",1.2,2.3 and up,https://play.google.com/store/apps/details?id=com.scottgames.sisterlocation
613,Two Nights at jumpscare,GAME,3.8,596,91M,"100,000+",Free,0,Teen,Adventure,"August 17, 2017",1.0,4.1 and up,https://play.google.com/store/apps/details?id=com.tony.twonight
614,Five Nights at Pizzeria,GAME,3.5,1976,21M,"100,000+",Free,0,Teen,Action,"March 3, 2018",1.6,4.1 and up,https://play.google.com/store/apps/details?id=com.madstorm.fivenightsatpizzeria
615,Block Battles: Heroes at War - Multiplayer PVP,GAME,4.3,6698,46M,"500,000+",Free,0,Everyone 10+,Action,"May 14, 2016",1.0.1,2.3 and up,
616,Five Nights at Freddy's 4,GAME,4.6,21266,45M,"100,000+",Paid,$2.99,Teen,Action,"July 26, 2015",1.1,2.3 and up,https://play.google.com/store/apps/details?id=com.scottgames.fnaf4
617,Five Nights at Flappy's,GAME,4.7,4041,24M,"10,000+",Free,0,Everyone,Arcade,"June 27, 2017",1.5.14,2.3.3 and up,https://play.google.com/store/apps/details?id=com.raresteak.fivenightsflappy
618,5 Nights at Cube Pizzeria City,GAME,3.8,2691,52M,"100,000+",Free,0,Teen,Adventure,"February 22, 2017",1.2,4.2 and up,
619,Five Nights at Freddy's 3,GAME,4.7,27856,50M,"100,000+",Paid,$2.99,Teen,Action,"April 2, 2015",1.07,2.3 and up,https://play.google.com/store/apps/details?id=com.scottgames.fnaf3
620,Au Mobile: Audition Chính Hiệu,GAME,3.9,85278,23M,"1,000,000+",Free,0,Mature 17+,Music,"July 17, 2018",1.8.0716,4.0.3 and up,
621,AU Mobile Indonesia,GAME,3.6,16521,23M,"1,000,000+",Free,0,Everyone,Music,"May 9, 2018",1.8.0502,2.3 and up,
622,Super Dancer,GAME,4.1,91667,27M,"1,000,000+",Free,0,Everyone,Arcade,"July 24, 2018",3.3,2.3 and up,https://play.google.com/store/apps/details?id=com.superdancer.fun
623,Au-allstar for KR,GAME,3.6,2433,47M,"100,000+",Free,0,Everyone,Music,"June 15, 2018",1.6.4,4.3 and up,
624,Super Dancer VN,GAME,4.0,24312,25M,"500,000+",Free,0,Everyone,Music,"July 22, 2018",3.3,4.0.3 and up,https://play.google.com/store/apps/details?id=com.k3vn.aumobile2
625,Love Dance,GAME,4.0,29462,44M,"1,000,000+",Free,0,Teen,Music,"June 14, 2018",1.1.7,4.0 and up,
626,Avatar Musik,GAME,3.8,159063,85M,"1,000,000+",Free,0,Everyone,Music,"February 9, 2018",0.8.0,4.0 and up,
627,DEER HUNTER 2018,GAME,4.3,955614,82M,"10,000,000+",Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,
628,Armored Warfare: Assault,GAME,4.0,7718,46M,"100,000+",Free,0,Everyone,Action,"August 2, 2018",1.0-a22936.127,5.0 and up,
629,Auction Wars : Storage King,GAME,4.1,29062,63M,"1,000,000+",Free,0,Everyone,Casino,"September 15, 2017",2.10,2.3 and up,https://play.google.com/store/apps/details?id=com.gamedigits.AuctionQuest
630,iSniper 3D Arctic Warfare,GAME,3.8,35572,Varies with device,"1,000,000+",Free,0,Teen,Arcade,"September 4, 2013",Varies with device,Varies with device,
631,Modern Action Commando 3D,GAME,4.2,492,63M,"100,000+",Free,0,Teen,Action,"April 6, 2017",1.0,4.0.3 and up,
632,Call of Duty®: Heroes,GAME,4.4,1604146,57M,"10,000,000+",Free,0,Teen,Action,"June 27, 2018",4.8.0,4.1 and up,
633,AXE.IO - Brutal Survival Battleground,GAME,4.2,3845,76M,"500,000+",Free,0,Everyone 10+,Arcade,"August 3, 2018",1.6.1,4.1 and up,https://play.google.com/store/apps/details?id=com.crescentmoongames.axeio
634,Axe Champ,GAME,3.8,141,19M,"10,000+",Free,0,Everyone,Arcade,"May 26, 2018",1.0.6,4.1 and up,
635,Axe Champ Hit,GAME,,1,15M,100+,Free,0,Everyone,Arcade,"May 25, 2018",0.1,4.1 and up,
636,Axe Champion,GAME,4.4,21,15M,"5,000+",Free,0,Everyone,Arcade,"May 28, 2018",0.1,4.1 and up,
637,Vikings Stickman Axe Fighting,GAME,4.2,924,43M,"100,000+",Free,0,Everyone,Arcade,"October 21, 2017",1.5.2,3.0 and up,
638,Axetatic - Axe Throwing Game,GAME,4.6,29,31M,"1,000+",Free,0,Everyone 10+,Arcade,"October 22, 2017",1.3.3,4.2 and up,
639,Axe Champs! Wars,GAME,5.0,8,25M,50+,Free,0,Everyone,Arcade,"June 26, 2018",1.1,4.1 and up,
640,Axe Knight,GAME,4.5,52,33M,"5,000+",Free,0,Everyone,Action,"June 26, 2018",1.0.5,4.1 and up,https://play.google.com/store/apps/details?id=com.preusgame.axe
641,The Vikings,GAME,4.4,15806,42M,"1,000,000+",Free,0,Teen,Arcade,"June 6, 2018",1.0.7,4.1 and up,https://play.google.com/store/apps/details?id=com.byv.TheVikings
642,Knife&Axe Throwing,GAME,3.1,440,9.1M,"50,000+",Free,0,Everyone,Arcade,"November 26, 2012",1.0.6,2.1 and up,
643,Stickman and Axe,GAME,4.4,69,2.8M,"50,000+",Free,0,Teen,Action,"November 25, 2017",1.0,4.0.3 and up,
644,Axe Throw: Flip Champ Axes Champion Throwing Games,GAME,,1,13M,50+,Free,0,Everyone,Arcade,"May 31, 2018",1.0.0,4.0 and up,
645,Axe Man,GAME,3.7,53,14M,"1,000+",Free,0,Everyone,Adventure,"February 23, 2015",3.0,2.3.3 and up,
646,Dead Zombie Evil Killer:Axe,GAME,3.9,71,52M,"10,000+",Free,0,Teen,Action,"December 1, 2016",1.1,2.3 and up,
647,Zlax.io Zombs Luv Ax,GAME,4.6,6344,32M,"500,000+",Free,0,Everyone,Action,"April 4, 2018",1.7,4.1 and up,https://play.google.com/store/apps/details?id=com.clowngames.zlaxio
648,Clash of Axe: Flippy Lumberjack Action X,GAME,4.3,6,61M,"1,000+",Free,0,Everyone,Action,"September 14, 2017",1.2,4.0 and up,
649,Flippy Axe : Flip The Knife & Axe Simulator,GAME,5.0,7,15M,100+,Free,0,Everyone,Arcade,"September 27, 2017",1.1,4.2 and up,
650,Cyborg AX-001,GAME,,0,Varies with device,50+,Free,0,Everyone 10+,Action,"June 25, 2018",Varies with device,Varies with device,
651,Woodman Deluxe,GAME,4.0,82,4.4M,"5,000+",Free,0,Everyone,Action,"July 6, 2015",1.0.2,2.3 and up,
652,¡Ay Metro!,GAME,3.8,489,36M,"10,000+",Free,0,Everyone 10+,Arcade,"March 17, 2015",1.0.3.1,4.0 and up,
653,YAKALA AY,GAME,,0,14M,1+,Paid,$0.99,Everyone,Arcade,"July 7, 2018",1.0,4.1 and up,
654,Ay Vamos - PJ. Balvin - Piano,GAME,,0,29M,5+,Free,0,Everyone,Arcade,"July 9, 2018",1.0,4.1 and up,
655,San Andreas Crime Stories,GAME,4.0,162530,97M,"10,000,000+",Free,0,Mature 17+,Racing,"July 2, 2018",1.0.0.0,4.1 and up,https://play.google.com/store/apps/details?id=com.ping9games.sanandreascrimestories
656,Miami crime simulator,GAME,4.0,254518,100M,"10,000,000+",Free,0,Mature 17+,Action,"July 9, 2018",2.0,4.0 and up,https://play.google.com/store/apps/details?id=com.mgc.miami.crime.simulator
657,Strange Hero: Future Battle,GAME,4.2,88901,73M,"10,000,000+",Free,0,Teen,Action,"May 24, 2018",11.0.0,4.0 and up,
658,Mad Day - Truck Distance Game,GAME,4.3,29270,44M,"5,000,000+",Free,0,Everyone,Action,"July 25, 2018",1.4.3,4.0.3 and up,https://play.google.com/store/apps/details?id=com.aceviral.madday
659,AZ Rockets,GAME,4.2,162,37M,"10,000+",Free,0,Everyone,Arcade,"May 25, 2018",1.2.1,4.1 and up,https://play.google.com/store/apps/details?id=se.itatake.azrockets
660,Ra Ga Ba,GAME,5.0,2,20M,1+,Paid,$1.49,Everyone,Arcade,"February 8, 2017",1.0.4,2.3 and up,
661,Ba Cristi,GAME,3.5,196,35M,"10,000+",Free,0,Everyone,Adventure,"March 22, 2016",1.0.4,2.3 and up,
662,Banana Kong,GAME,4.4,3452530,68M,"100,000,000+",Free,0,Everyone,Action,"February 7, 2018",1.9.6.6,4.0.3 and up,https://play.google.com/store/apps/details?id=com.fdgentertainment.bananakong
663,Space Shooter : Galaxy Attack,GAME,4.6,169661,40M,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",1.246,4.1 and up,
664,BC Slots - The Lost Reels FREE,GAME,4.0,209,22M,"10,000+",Free,0,Teen,Casino,"July 13, 2018",7.0,4.0 and up,
665,Millionaire : Who want to be?,GAME,4.4,4396,40M,"100,000+",Free,0,Everyone,Trivia,"April 12, 2017",1.5,2.3 and up,
666,Bowmasters,GAME,4.7,1535581,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters
667,Beauty Idol: Fashion Queen,GAME,4.3,128367,54M,"1,000,000+",Free,0,Everyone,Arcade,"October 27, 2017",2.1.0,4.0.3 and up,
668,Hard Time (Prison Sim),GAME,4.3,275843,41M,"10,000,000+",Free,0,Teen,Adventure,"July 19, 2018",1.401,4.0 and up,https://play.google.com/store/apps/details?id=air.HardTime
669,Battlefield™ Companion,GAME,4.0,263907,62M,"10,000,000+",Free,0,Everyone 10+,Action,"November 1, 2016",3.0.4,4.0 and up,https://play.google.com/store/apps/details?id=com.ea.bf3bl.bv
670,Wolf of the BF:Commando MOBILE,GAME,3.4,32,27M,"1,000+",Paid,$0.99,Everyone 10+,Arcade,"March 23, 2017",1.00.10,4.0 and up,https://play.google.com/store/apps/details?id=jp.co.capcom.mobileikusawd
671,BF at Sea Refueled,GAME,4.4,1849,37M,"10,000+",Free,0,Everyone,Board,"October 20, 2015",1.1.8,2.3.3 and up,
672,Bullet Force,GAME,4.5,634159,58M,"10,000,000+",Free,0,Teen,Action,"June 21, 2018",1.40,4.2 and up,https://play.google.com/store/apps/details?id=com.blayzegames.iosfps
673,BF Combat: Genesis,GAME,4.0,3322,82M,"100,000+",Free,0,Mature 17+,Action,"March 2, 2017",5.1.6,2.3 and up,
674,Combat BF: Black Ops 3,GAME,4.2,7699,83M,"500,000+",Free,0,Mature 17+,Action,"March 2, 2017",5.1.6,2.3 and up,
675,BF Frontline City,GAME,4.1,29798,80M,"1,000,000+",Free,0,Mature 17+,Action,"March 6, 2017",5.1.7,2.3 and up,
676,Faketalk - Chatbot,GAME,4.2,63056,8.1M,"1,000,000+",Free,0,Teen,Word,"July 3, 2018",1.9.7,2.3 and up,https://play.google.com/store/apps/details?id=com.baek.Gatalk3
677,Block Gun 3D: Call of Destiny,GAME,3.7,31883,20M,"1,000,000+",Free,0,Teen,Action,"March 23, 2017",1.4.3,2.3 and up,
678,BLOOD & GLORY: IMMORTALS,GAME,4.3,101762,11M,"1,000,000+",Free,0,Teen,Action,"June 11, 2015",2.0.0,3.0 and up,
679,Shadow Fight 2 Special Edition,GAME,4.5,10440,86M,"50,000+",Paid,$4.99,Teen,Action,"May 30, 2018",1.0.3,4.1 and up,https://play.google.com/store/apps/details?id=com.nekki.shadowfight2.paid
680,Block Gun 3D: Ghost Ops,GAME,3.9,142693,21M,"5,000,000+",Free,0,Teen,Action,"June 7, 2018",1.4.0,2.3 and up,https://play.google.com/store/apps/details?id=com.wizardgames.bg3dGO
681,Backgammon NJ for Android,GAME,4.4,1644,15M,"10,000+",Paid,$7.99,Everyone,Board,"April 5, 2017",4.1,2.3.3 and up,https://play.google.com/store/apps/details?id=com.njsoftware.backgammonnj
682,Rento - Dice Board Game Online,GAME,4.3,205830,63M,"10,000,000+",Free,0,Everyone,Board,"June 20, 2018",4.4.9,4.1 and up,https://play.google.com/store/apps/details?id=air.bg.lan.Monopoli
683,Survival Run with Bear Grylls,GAME,4.2,128579,Varies with device,"5,000,000+",Free,0,Everyone,Action,"May 6, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.f84games.survivalrun
684,VIP Backgammon Free : Play Backgammon Online,GAME,4.1,389,Varies with device,"10,000+",Free,0,Teen,Board,"July 3, 2018",1.16.32,Varies with device,
685,Out of Bounds BH Demo,GAME,,3,14M,10+,Free,0,Everyone,Action,"November 19, 2015",1.0,2.3.3 and up,
686,Bi-Tank Ads Free,GAME,,0,Varies with device,1+,Paid,$0.99,Everyone,Arcade,"July 31, 2017",1.1,4.1 and up,
687,Bi-Tank,GAME,4.6,12,18M,50+,Free,0,Everyone,Arcade,"July 31, 2017",Varies with device,4.1 and up,
688,Bike Rivals,GAME,4.2,212067,48M,"10,000,000+",Free,0,Everyone,Racing,"July 15, 2015",1.5.2,2.3.3 and up,
689,Bingo Party - Free Bingo Games,GAME,4.7,155694,92M,"1,000,000+",Free,0,Teen,Board,"July 13, 2018",2.1.1,4.0.3 and up,
690,BJ's Bingo & Gaming Casino,GAME,4.5,501,65M,"10,000+",Free,0,Teen,Casino,"July 26, 2018",5.0.1.3,4.3 and up,
691,BJ Bridge Pro 2018,GAME,4.4,17,4.8M,500+,Paid,$4.49,Everyone,Card,"May 21, 2018",6.2-pro,4.0 and up,
692,BJ Bridge Free (2018),GAME,3.9,20,4.8M,"10,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-lite,4.0 and up,
693,BJ Bridge Acol Beginner 2018,GAME,3.7,11,4.8M,"5,000+",Free,0,Everyone,Card,"May 21, 2018",6.2-begina,4.0 and up,
